Name,Url
Thulasi Tholeti,https://ai.northeastern.edu/our-people/thulasi-tholeti
Daniel Tigard,https://ai.northeastern.edu/our-people/daniel-tigard
Ruben Van Genugten,https://ai.northeastern.edu/our-people/ruben-van-genugten
Michael Wan,https://ai.northeastern.edu/our-people/michael-wan
Sophie Wang,https://ai.northeastern.edu/our-people/sophie-wang
Yanjun Zhu,https://ai.northeastern.edu/our-people/yanjun-zhu
Usama Fayyad,https://ai.northeastern.edu/our-people/usama-fayyad
Laurent Audoly,https://ai.northeastern.edu/our-people/laurent-audoly
Ricardo Baeza-Yates,https://ai.northeastern.edu/our-people/ricardo-baeza-yates
Cansu Canca,https://ai.northeastern.edu/our-people/cansu-canca
Robert Deutsch,https://ai.northeastern.edu/our-people/robert-deutsch
Jennifer Dy,https://ai.northeastern.edu/our-people/jennifer-dy
Auroop Ganguly,https://ai.northeastern.edu/our-people/auroop-ganguly
Hamit Hamutcu,https://ai.northeastern.edu/our-people/hamit-hamutcu
Steve Johnson,https://ai.northeastern.edu/our-people/steve-johnson
Samuel Scarpino,https://ai.northeastern.edu/our-people/samuel-scarpino
James Shanahan,https://ai.northeastern.edu/our-people/james-shanahan
Sabrina Sidl,https://ai.northeastern.edu/our-people/sabrina-sidl
Eugene Tunik,https://ai.northeastern.edu/our-people/eugene-tunik
Tim Weidinger,https://ai.northeastern.edu/our-people/tim-weidinger
